date,year_month,year,month,day_of_week,member_casual,ride_length
2020-10-02,2020 October,2020,October,Friday,member,630720
2020-10-09,2020 October,2020,October,Friday,member,850020
2020-10-16,2020 October,2020,October,Friday,member,985440
2020-10-23,2020 October,2020,October,Friday,member,282000
2020-10-30,2020 October,2020,October,Friday,member,480960
2020-09-04,2020 September,2020,September,Friday,member,920580
2020-09-11,2020 September,2020,September,Friday,member,623520
2020-09-18,2020 September,2020,September,Friday,member,721140
2020-09-25,2020 September,2020,September,Friday,member,822960
2021-04-05,2021 April,2021,April,Monday,member,466620
2021-04-12,2021 April,2021,April,Monday,member,528900
2021-04-19,2021 April,2021,April,Monday,member,366660
2021-04-26,2021 April,2021,April,Monday,member,540180
2021-08-02,2021 August,2021,August,Monday,member,783960
2021-08-09,2021 August,2021,August,Monday,member,516180
2021-08-16,2021 August,2021,August,Monday,member,931440
2021-08-23,2021 August,2021,August,Monday,member,851460
2021-08-30,2021 August,2021,August,Monday,member,836520
2020-12-07,2020 December,2020,December,Monday,member,230580
2020-12-14,2020 December,2020,December,Monday,member,188520
2020-12-21,2020 December,2020,December,Monday,member,202500
2020-12-28,2020 December,2020,December,Monday,member,174480
2021-02-01,2021 February,2021,February,Monday,member,115500
2021-02-08,2021 February,2021,February,Monday,member,45780
2021-02-15,2021 February,2021,February,Monday,member,191340
2021-02-22,2021 February,2021,February,Monday,member,86760
2021-01-04,2021 January,2021,January,Monday,member,135720
2021-01-11,2021 January,2021,January,Monday,member,142920
2021-01-18,2021 January,2021,January,Monday,member,175740
2021-01-25,2021 January,2021,January,Monday,member,124440
2021-07-05,2021 July,2021,July,Monday,member,1029540
2021-07-12,2021 July,2021,July,Monday,member,693300
2021-07-19,2021 July,2021,July,Monday,member,1020540
2021-07-26,2021 July,2021,July,Monday,member,819000
2021-06-07,2021 June,2021,June,Monday,member,665040
2021-06-14,2021 June,2021,June,Monday,member,751320
2021-06-21,2021 June,2021,June,Monday,member,730680
2021-06-28,2021 June,2021,June,Monday,member,557220
2021-03-01,2021 March,2021,March,Monday,member,152220
2021-03-08,2021 March,2021,March,Monday,member,389100
2021-03-15,2021 March,2021,March,Monday,member,95100
2021-03-22,2021 March,2021,March,Monday,member,496980
2021-03-29,2021 March,2021,March,Monday,member,389760
2021-05-03,2021 May,2021,May,Monday,member,405120
2021-05-10,2021 May,2021,May,Monday,member,335700
2021-05-17,2021 May,2021,May,Monday,member,619500
2021-05-24,2021 May,2021,May,Monday,member,697440
